date,clients,product,market_index,contracts,nf_volume,tons
2023-01-01,596,export,100.39737132240899,3663,21245,3113550
2023-01-08,500,export,100.28675988147204,3379,19598,2872150
2023-01-15,531,export,100.80491071195259,3573,20723,3037050
2023-01-22,473,export,102.02333459707901,3323,19273,2824550
2023-01-29,534,barter,101.83601189730034,2141,6637,471020
2023-02-05,513,origination,101.648702331741,2375,5937,427500
2023-02-12,486,origination,102.91207258414691,2449,6122,440820
2023-02-19,552,origination,103.52602036746924,2957,7392,532260
2023-02-26,480,origination,103.15044085872128,2510,6275,451800
2023-03-05,481,origination,103.58448889359005,2455,6137,441900
2023-03-12,545,origination,103.21375473934008,2646,6615,476280
2023-03-19,555,origination,102.84117093648388,2884,7210,519120
2023-03-26,569,origination,103.0347407537367,2619,6547,471420
2023-04-02,567,origination,101.50411655801047,2633,6582,473940
2023-04-09,591,origination,100.12418229200004,3247,8117,584460
2023-04-16,573,origination,99.67435226860727,2886,7215,519480
2023-04-23,554,export,98.86408737233972,3650,21170,3102500
2023-04-30,559,origination,99.11548523841594,2892,7230,520560
2023-05-07,556,origination,98.38906597799897,2954,7385,531720
2023-05-14,576,origination,97.25922301693073,2645,6612,476100
2023-05-21,540,export,98.43174203206799,3519,20410,2991150
2023-05-28,585,origination,98.25112099167875,2689,6722,484020
2023-06-04,576,export,98.3051435554291,3922,22747,3333700
2023-06-11,590,origination,97.16534500645832,2838,7095,510840
2023-06-18,594,origination,96.72983882683818,2932,7330,527760
2023-06-25,517,origination,96.81857689860607,2484,6210,447120
2023-07-02,566,origination,95.89778203666823,2167,5417,390060
2023-07-09,594,export,96.19834045134476,3757,21790,3193450
2023-07-16,599,export,95.71782949940973,3375,19575,2868750
2023-07-23,612,barter,95.4844744995751,2316,7179,509520
2023-07-30,617,origination,95.00310920979159,2729,6822,491220
2023-08-06,658,origination,96.48493175739874,3111,7777,559980
2023-08-13,624,export,96.47413397760839,3595,20851,3055750
2023-08-20,609,origination,95.62796523444366,2177,5442,391860
2023-08-27,572,origination,96.28600116412622,2566,6415,461880
2023-09-03,583,origination,95.3093262441494,3220,8050,579600
2023-09-10,646,origination,95.4764171201532,2902,7255,522360
2023-09-17,666,barter,93.90868102104939,2703,8379,594660
2023-09-24,686,export,92.84613218193064,4874,28269,4142900
2023-10-01,614,export,93.00362117062593,3780,21924,3213000
2023-10-08,634,origination,93.59439443462227,2725,6812,490500
2023-10-15,655,origination,93.73148905957424,2870,7175,516600
2023-10-22,718,origination,93.63897043366366,3096,7740,557280
2023-10-29,658,origination,93.39808747719222,2521,6302,453780
2023-11-05,709,origination,92.21526988489828,2635,6587,474300
2023-11-12,667,export,91.63939451818251,4447,25792,3779950
2023-11-19,704,export,91.27088350141469,4121,23901,3502850
2023-11-26,703,origination,92.11658128238982,2947,7367,530460
2023-12-03,678,barter,92.39147591404459,2527,7833,555940
2023-12-10,642,export,90.9810437897544,3923,22753,3334550
2023-12-17,671,origination,91.24031096527024,3325,8312,598500
2023-12-24,734,export,90.93224514093718,4396,25496,3736600
2023-12-31,717,origination,90.39070754069242,2788,6970,501840
2024-01-07,676,origination,90.88004857176512,2860,7150,514800
2024-01-14,682,origination,91.70484818976186,3195,7987,575100
2024-01-21,637,export,92.44987228505482,3698,21448,3143300
2024-01-28,752,origination,91.77849826647672,3469,8672,624420
2024-02-04,736,origination,91.53112836579575,2581,6452,464580
2024-02-11,704,origination,91.7961391109186,2985,7462,537300
2024-02-18,719,origination,92.57657521261649,3289,8222,592020
2024-02-25,638,barter,92.19323582234026,2744,8506,603680
2024-03-03,702,export,92.0447086410092,4139,24006,3518150
2024-03-10,771,origination,91.15964066180437,3027,7567,544860
2024-03-17,762,origination,90.20267536253984,3295,8237,593100
2024-03-24,742,origination,90.8526960204552,3003,7507,540540
2024-03-31,733,origination,91.93768804331185,3260,8150,586800
2024-04-07,767,origination,91.88007994604759,3448,8620,620640
2024-04-14,731,origination,92.68290626436121,2967,7417,534060
