date,clients,product_type,commodity,operation_type,soy_price,corn_price,sugar_price,cotton_price,usd_brl,vol_soy,vol_corn,contracts,nf_volume,tons
2023-01-01,514,origination,soy,spot,135.77909723598208,91.41515662087659,21.962263923970106,86.55050049281408,5.017673198749733,0.032276689924732926,0.0147937545494884,3016,7540,542880
2023-01-08,499,origination,soy,future,136.63543300202184,91.49617879856872,21.978981397656714,85.55214645207529,5.030719656318002,0.007903589813087945,0.01803371860234333,3456,8640,622080
2023-01-15,527,origination,corn,hedge,138.33878146229273,93.9690763084271,22.307238853197997,86.53646885055187,4.999191813178317,0.03672572386837704,0.03206294085304732,2435,6087,438300
2023-01-22,558,export,soy,future,139.76978410753253,96.07548531935895,21.799499464283553,86.32248000632636,5.028722620172835,0.02419019009366045,0.04503885405221687,5545,32161,4713250
2023-01-29,508,export,corn,spot,140.74687098449124,95.77672834118407,22.258364560121738,86.27301629667393,5.056324447255784,0.012949881442415913,0.029736058357875773,2680,15544,2278000
2023-02-05,511,export,corn,future,140.2739671175307,96.94261348232929,22.21096219054804,86.94783578884054,5.043813193225593,0.01944230922342294,0.010649403255577788,2949,17104,2506650
2023-02-12,572,origination,sugar,spot,141.4124209482706,97.71706462183147,22.082897869563816,85.82511376727824,5.051729263894341,0.025583269125217224,0.03033523201864169,510,1275,91800
2023-02-19,551,export,corn,hedge,140.25318312646425,99.35942249087029,21.779266556985764,86.20752351346228,5.061609867619996,0.020760053914124117,0.03935957783974781,3678,21332,3126300
2023-02-26,515,origination,soy,future,139.89795521635423,98.20151433817416,21.282809555426034,86.37397572167534,5.066823342936474,0.025387559924463694,0.017682605148167413,3686,9215,663480
2023-03-05,552,barter,corn,future,139.16990989461058,99.02477609017228,21.52976073061461,86.86642698568349,5.055817239859566,0.010793264069206337,0.023391793999924988,2569,7963,565180
2023-03-12,523,export,soy,future,139.29272110369007,100.29488547439179,21.551756120771127,87.1555956295913,5.042384772500805,0.02169360824036078,0.025176258336750367,5369,31140,4563650
2023-03-19,527,origination,soy,future,142.76470895370034,98.18439809068406,21.16476785084881,89.6108957695022,5.041873691080976,0.005862855030950197,0.015581220243013122,3702,9255,666360
2023-03-26,554,export,sugar,spot,139.9638111648127,96.76448787548513,20.776244219229728,88.97315578525088,5.065328271466163,0.018887739386512996,0.03277936520612631,688,3990,584800
2023-04-02,486,origination,soy,future,140.9932014503745,94.317409262173,20.67550880944269,88.44215883024907,5.076200274558052,0.010960923585352103,0.023548622216706623,3727,9317,670860
2023-04-09,496,export,sugar,spot,138.57412764359,93.99412106083953,21.176215267029505,87.81901830382431,5.06878798791633,0.012644700574102333,0.030034389326884334,618,3584,525300
2023-04-16,538,origination,sugar,future,137.86622984490586,94.85517176779469,21.098337861620426,87.26354118466405,5.084221962129297,0.032360931752104374,0.0143500938663748,549,1372,98820
